OVGU	Університет Отто фон Ґеріке
Masterprojektarbeit	Магістерський проєкт
Zerspantechnik	технологія обробки
Zeitmanagement	тайм-менеджмент
GUDFM	Спільний Українсько-Німецький Факультет Машинобудування
Masterarbeit	магістерська робота
Soft-Skills	м'які(гнучкі)навички
WG	спільна квартира
Stellenausschreibungen	оголошення про роботу
Maschinenbau	Машинобудування
Maschinenbauer	інженери-машинобудівники
promovieren	захищати докторську дисертацію
Mechatroniker	інженер з мехатроніки
Karosseriebau	конструювання кузовів
Fachlabor	лабораторна робота
Förderanlagen	конвеєр, транспортер
Youtube	Youtube	так і залишаємо
IKUS	студенти різних культур
Wälzlager	вальниця
Hiwi	лаборант
Hiwi-Stelle	посада в лабораторії
HiWi-Aufgaben	завдання лаборанта
HiWi-Tätigkeiten	діяльність лаборанта
Hochdeutsch	літературна німецька мова
